pickup_id,lat,lon,num_students
0,20.93833126,105.9174708,1
1,21.19842481,105.8394304,1
2,20.97921332,105.6766013,1
3,21.11225505,105.9963856,1
4,21.05536315,105.8065237,5
5,21.10939071,105.7085237,1
6,20.92586836,105.8076305,2
7,21.04643063,105.9144715,6
8,21.01890545,105.9964909,1
9,20.9903375,105.7591583,4
10,21.13438596,105.8779229,5
11,20.97656012,105.8564606,1
12,21.04075853,105.7138376,1
13,21.11997197,105.7998981,1
14,21.11141176,105.9335578,1
15,21.07954567,105.8686979,5
16,21.08703277,105.7568403,5
17,21.16660925,105.7812471,1
18,21.00203975,105.8104409,10
19,20.99912088,105.9028236,2
20,21.07259126,105.9635455,3
21,20.89989328,105.8892099,1
22,20.94493415,105.7103591,1
23,21.02423314,105.8514988,5
24,21.15607469,105.8303803,2
25,21.02887703,105.7730782,5
26,20.93958924,105.8743481,1
27,20.9644509,105.7950957,3
28,21.08909622,105.8278347,5
29,21.00091129,105.7202178,1
30,21.13623939,105.7587634,1
31,20.9160453,105.9486089,1
32,20.976831,105.9328399,4
33,21.17526615,105.8639725,2
34,21.07343576,105.7256516,1
35,21.05883774,105.8433664,5
36,21.09168265,105.9081794,1
37,20.920904,105.848198,1
38,21.05650991,105.7579195,5
39,21.12813092,105.9689729,1
40,21.0223979,105.7423028,5
41,21.04839494,105.8714398,1
42,20.89550983,105.9189922,1
43,21.13216713,105.8461436,6
44,20.95503125,105.8222693,2
45,21.10804053,105.8808959,2
46,21.09573693,105.7961815,5
47,21.06977595,105.9218961,5
48,21.10366799,105.8486321,5
49,21.02297696,105.9105616,3
50,21.01439423,105.8743525,2
51,21.15228632,105.8602331,1
52,20.97641504,105.8311765,5
53,21.13569019,105.9460706,1
54,21.07219343,105.8912774,5
55,21.05434153,105.6957511,2
56,21.07414059,105.7955637,4
57,21.13235224,105.8185193,1
58,21.02202952,105.8287838,4
59,21.01698105,105.974209,1
60,21.16968452,105.8135771,1
61,21.04168085,105.7416177,3
62,20.9407063,105.8949089,1
63,21.08732054,105.7776456,2
64,21.07334115,105.8164275,1
65,21.00061257,105.7403086,5
66,20.97824552,105.8070289,5
67,20.9954518,105.776499,5
68,21.01422601,105.7980189,1
69,21.05644484,105.7885861,4
70,21.11603489,105.7825915,1
71,21.06417712,105.8760661,4
72,21.04848185,105.9316187,5
73,21.09325303,105.8875451,1
74,21.09991885,105.8652858,3
75,21.02540567,105.7182913,5
76,20.97491367,105.7560589,4
77,21.04061945,105.7840466,1
78,20.94063457,105.9335992,1
79,21.13150944,105.9848095,1
80,20.98426835,105.6918854,1
81,21.07270595,105.8383187,5
82,20.97865406,105.7915071,1
83,21.06186788,105.8259067,1
84,21.02835759,105.8738251,5
85,21.01137115,105.8532464,3
86,21.166489,105.8539554,1
87,20.98957725,105.8135142,5
88,20.96622083,105.8390404,1
89,20.96681268,105.8176188,1
90,21.08503638,105.9647069,2
91,21.02851152,105.7867114,5
92,21.02039553,105.897752,1
93,21.0100063,105.8299219,1
94,20.9874129,105.8263403,5
95,21.04338221,105.6908918,1
96,21.04652276,105.858931,1
97,20.99169491,105.6820627,1
98,21.10772929,105.7914334,6
99,21.09755947,105.8080874,5
100,21.08471358,105.8170177,5
101,21.05686106,105.9150026,5
102,20.96849343,105.7849417,1
103,21.16468673,105.8247273,1
104,20.99054873,105.7411263,4
105,21.02697039,105.8379641,1
106,21.01345994,105.9113568,5
107,21.12307519,105.8184082,5
108,21.06367302,105.9616566,2
109,20.92435742,105.8167701,2
110,21.05392813,105.7974851,5
111,21.07942552,105.7741724,2
112,20.994033,105.7255846,1
113,21.05391947,105.8646826,1
114,21.02384339,105.7511254,5
115,21.06462082,105.757579,1
116,20.970793,105.8090006,2
117,20.95041846,105.8157184,2
118,21.06820182,105.9555468,3
119,21.10817916,105.8883425,1
120,21.03674586,105.7468096,2
121,21.06633983,105.8830775,5
122,20.99810029,105.733579,5
123,21.01952556,105.8353989,5
124,20.97538725,105.8006721,2
125,21.06830574,105.827337,5
126,21.02595393,105.7793218,5
127,21.07912683,105.9622114,1
128,21.12942649,105.8129659,1
129,21.03632084,105.7180325,4
130,21.07575384,105.8016359,1
131,21.02657421,105.712214,1
132,21.0781194,105.8129967,4
133,21.01928503,105.9058561,5
134,21.06712866,105.8395522,5
135,21.01438782,105.8480893,2
136,21.00235411,105.9077022,2
137,20.99561634,105.7610619,2
138,20.95894876,105.7954745,1
139,21.09603387,105.802432,1
140,21.16012096,105.8264849,1
141,21.09921359,105.8603098,2
142,21.10931997,105.8760798,4
143,21.02532839,105.83338,6
144,21.01859992,105.8725562,3
